date,open,close,high,low,volume,amount,name
2023-12-01,42.36,42.82,42.83,42.27,2209653.0,94617341.46,华虹宏力
2023-12-04,43.15,43.15,43.25,42.91,2665512.0,115016842.8,华虹宏力
2023-12-05,43.15,43.27,44.41,43.05,5625667.0,243422611.09,华虹宏力
2023-12-06,43.27,42.84,43.55,42.81,4056583.0,173784015.72000003,华虹宏力
2023-12-07,42.65,42.9,43.04,42.52,2623426.0,112544975.39999999,华虹宏力
2023-12-08,42.98,43.33,43.45,42.95,2790660.0,120919297.8,华虹宏力
2023-12-11,43.33,43.52,43.53,42.61,2717344.0,118258810.88000001,华虹宏力
2023-12-12,43.53,43.23,43.55,43.04,2329432.0,100701345.36,华虹宏力
2023-12-13,43.15,42.66,43.18,42.63,2012987.0,85874025.41999999,华虹宏力
2023-12-14,43.27,44.52,45.31,43.27,12748325.0,567555429.0,华虹宏力
2023-12-15,44.52,44.74,44.79,43.74,7206507.0,322419123.18,华虹宏力
2023-12-18,44.4,43.32,44.44,43.15,4502953.0,195067923.96,华虹宏力
2023-12-19,43.22,42.96,43.37,42.73,3076896.0,132183452.16,华虹宏力
2023-12-20,42.94,42.76,43.27,42.73,1980754.0,84697041.03999999,华虹宏力
2023-12-21,42.55,43.06,43.32,42.36,2257780.0,97220006.80000001,华虹宏力
2023-12-22,43.08,42.75,43.2,42.74,2034853.0,86989965.75,华虹宏力
2023-12-25,42.75,42.63,43.08,42.37,1684414.0,71806568.82000001,华虹宏力
2023-12-26,42.56,41.45,42.57,41.45,3038902.0,125962487.9,华虹宏力
2023-12-27,41.35,41.32,41.51,40.24,2766771.0,114322977.72,华虹宏力
2023-12-28,41.08,42.21,42.41,41.08,2660568.0,112302575.28,华虹宏力
2023-12-29,42.17,42.62,42.8,42.1,2349914.0,100153334.67999999,华虹宏力
2024-01-02,42.65,41.94,42.7,41.85,2051843.0,86054295.42,华虹宏力
2024-01-03,41.84,41.47,42.2,41.32,1524125.0,63205463.75,华虹宏力
