date,open,close,high,low,volume,amount,name
2023-12-01,112.793,112.8,113.907,111.76,3550760.0,400525728.0,中微公司
2023-12-04,112.129,109.767,113.458,109.062,4279910.0,469792880.96999997,中微公司
2023-12-05,109.102,108.954,109.431,107.733,3668532.0,399701235.528,中微公司
2023-12-06,108.518,107.605,109.451,107.27,4377991.0,471093721.555,中微公司
2023-12-07,107.874,102.746,108.29,101.921,9354082.0,961094509.1719999,中微公司
2023-12-08,102.78,104.082,104.082,101.377,10307687.0,1072844678.334,中微公司
2023-12-11,102.72,105.746,106.149,102.565,6737815.0,712496984.99,中微公司
2023-12-12,105.337,105.746,106.203,104.263,3949468.0,417640443.12799996,中微公司
2023-12-13,105.505,105.303,108.277,105.001,3899959.0,410677382.57699996,中微公司
2023-12-14,105.652,104.458,106.344,102.122,4984933.0,520716131.314,中微公司
2023-12-15,103.659,102.384,104.303,101.975,4008367.0,410392646.928,中微公司
2023-12-18,102.424,100.975,102.686,100.424,3618405.0,365368444.875,中微公司
2023-12-19,101.176,102.25,103.424,100.934,3672743.0,375537971.75,中微公司
2023-12-20,102.585,102.183,103.357,101.115,3154600.0,322346491.8,中微公司
2023-12-21,101.847,103.397,104.458,101.189,3932171.0,406574684.887,中微公司
2023-12-22,103.391,101.418,103.599,100.807,3389229.0,343728826.722,中微公司
2023-12-25,101.377,100.371,102.317,98.511,3150668.0,316235697.828,中微公司
2023-12-26,100.686,99.82,100.907,98.538,3046304.0,304082065.28,中微公司
2023-12-27,99.418,105.109,106.599,99.209,6607235.0,694479863.615,中微公司
2023-12-28,105.109,106.666,106.881,104.203,5285444.0,563777169.704,中微公司
2023-12-29,106.921,102.451,106.941,101.914,9583600.0,981849403.5999999,中微公司
2024-01-02,101.968,97.384,101.968,94.666,9838940.0,958155332.96,中微公司
2024-01-03,96.968,96.975,99.418,96.498,4235711.0,410758074.22499996,中微公司
2024-01-04,97.015,96.612,98.558,94.867,4862084.0,469735659.408,中微公司
2024-01-05,96.008,96.142,97.605,95.471,4830363.0,464400759.546,中微公司
2024-01-08,95.089,91.8,96.129,91.377,7255346.0,666040762.8,中微公司
