date,open,close,high,low,volume,amount,name
2023-12-01,1085.75,1093.78,1096.85,1077.77,0.0,0.0,中证AI
2023-12-04,1093.67,1087.98,1103.28,1087.98,0.0,0.0,中证AI
2023-12-05,1084.75,1065.7,1084.75,1065.49,0.0,0.0,中证AI
2023-12-06,1063.15,1067.39,1071.68,1061.71,0.0,0.0,中证AI
2023-12-07,1065.66,1065.72,1071.14,1055.44,0.0,0.0,中证AI
2023-12-08,1067.41,1091.08,1091.08,1066.1,0.0,0.0,中证AI
2023-12-11,1080.43,1112.03,1113.26,1075.11,0.0,0.0,中证AI
2023-12-12,1107.96,1103.19,1112.88,1097.49,0.0,0.0,中证AI
2023-12-13,1101.39,1091.7,1111.24,1091.7,0.0,0.0,中证AI
2023-12-14,1096.05,1085.16,1102.3,1084.67,0.0,0.0,中证AI
2023-12-15,1085.61,1072.57,1087.81,1071.34,0.0,0.0,中证AI
2023-12-18,1069.46,1062.78,1071.66,1060.14,0.0,0.0,中证AI
2023-12-19,1061.59,1070.69,1076.88,1059.24,0.0,0.0,中证AI
2023-12-20,1072.42,1055.02,1072.76,1054.66,0.0,0.0,中证AI
2023-12-21,1051.11,1066.68,1073.98,1049.31,0.0,0.0,中证AI
2023-12-22,1066.4,1051.69,1067.21,1048.04,0.0,0.0,中证AI
2023-12-25,1047.51,1037.37,1054.71,1033.78,0.0,0.0,中证AI
2023-12-26,1036.7,1013.98,1037.02,1010.44,0.0,0.0,中证AI
2023-12-27,1016.96,1026.57,1032.14,1016.77,0.0,0.0,中证AI
2023-12-28,1024.46,1043.53,1048.27,1022.53,0.0,0.0,中证AI
2023-12-29,1043.85,1049.84,1053.99,1042.83,0.0,0.0,中证AI
2024-01-02,1047.93,1030.27,1047.93,1030.27,0.0,0.0,中证AI
2024-01-03,1028.3,1010.0,1033.42,1006.7,0.0,0.0,中证AI
2024-01-04,1011.46,1001.31,1011.68,993.67,0.0,0.0,中证AI
2024-01-05,998.53,982.25,1005.44,976.5,0.0,0.0,中证AI
2024-01-08,977.47,950.61,979.66,949.7,0.0,0.0,中证AI
2024-01-09,954.32,944.17,960.96,936.85,0.0,0.0,中证AI
2024-01-10,939.82,934.15,949.29,927.04,0.0,0.0,中证AI
2024-01-11,932.47,950.15,954.5,932.15,0.0,0.0,中证AI
2024-01-12,947.79,933.53,949.58,933.53,0.0,0.0,中证AI
2024-01-15,930.0,930.08,945.53,926.23,0.0,0.0,中证AI
2024-01-16,927.84,933.06,933.32,918.87,0.0,0.0,中证AI
2024-01-17,932.18,909.94,932.57,909.94,0.0,0.0,中证AI
2024-01-18,904.62,923.96,924.56,889.63,0.0,0.0,中证AI
2024-01-19,923.12,920.4,928.88,917.38,0.0,0.0,中证AI
2024-01-22,919.64,890.63,922.05,881.63,0.0,0.0,中证AI
2024-01-23,886.28,901.05,906.92,878.53,0.0,0.0,中证AI
2024-01-24,905.7,901.67,907.15,873.87,0.0,0.0,中证AI
2024-01-25,900.79,921.17,925.1,892.1,0.0,0.0,中证AI
2024-01-26,914.34,895.23,914.34,893.93,0.0,0.0,中证AI
2024-01-29,899.86,874.94,911.01,874.94,0.0,0.0,中证AI
2024-01-30,868.61,839.89,873.42,838.68,0.0,0.0,中证AI
2024-01-31,835.28,820.5,841.57,819.01,0.0,0.0,中证AI
2024-02-01,817.36,830.59,849.7,812.66,0.0,0.0,中证AI
2024-02-02,834.4,806.58,836.15,781.51,0.0,0.0,中证AI
2024-02-05,807.0,803.98,819.93,757.06,0.0,0.0,中证AI
2024-02-06,801.71,862.97,863.7,790.91,0.0,0.0,中证AI
2024-02-07,863.79,889.46,892.46,858.05,0.0,0.0,中证AI
2024-02-08,898.27,902.87,928.9,897.16,0.0,0.0,中证AI
2024-02-19,922.23,927.75,927.96,905.55,0.0,0.0,中证AI
2024-02-20,919.01,917.11,922.18,907.45,0.0,0.0,中证AI
2024-02-21,906.4,913.72,932.3,902.3,0.0,0.0,中证AI
2024-02-22,919.22,928.55,937.55,918.98,0.0,0.0,中证AI
2024-02-23,937.73,932.65,939.33,916.25,0.0,0.0,中证AI
2024-02-26,932.53,940.93,952.47,928.97,0.0,0.0,中证AI
2024-02-27,934.57,984.99,985.45,930.62,0.0,0.0,中证AI
2024-02-28,983.01,941.02,1000.39,941.02,0.0,0.0,中证AI
2024-02-29,940.09,994.59,994.59,940.09,0.0,0.0,中证AI
2024-03-01,997.3,1010.64,1014.29,991.01,0.0,0.0,中证AI
2024-03-04,1017.93,1015.5,1021.61,997.52,0.0,0.0,中证AI
2024-03-05,1007.89,1014.15,1026.12,1004.53,0.0,0.0,中证AI
2024-03-06,1009.98,1000.75,1013.18,989.65,0.0,0.0,中证AI
2024-03-07,1005.53,977.89,1012.68,977.13,0.0,0.0,中证AI
2024-03-08,979.74,990.02,993.81,973.33,0.0,0.0,中证AI
2024-03-11,982.67,1003.74,1003.89,975.19,0.0,0.0,中证AI
2024-03-12,1003.5,1004.91,1019.42,998.44,0.0,0.0,中证AI
2024-03-13,1011.66,1003.63,1019.51,1001.07,0.0,0.0,中证AI
2024-03-14,995.32,988.54,1001.88,978.44,0.0,0.0,中证AI
2024-03-15,985.93,994.66,995.85,975.73,0.0,0.0,中证AI
2024-03-18,997.86,1020.42,1021.1,997.47,0.0,0.0,中证AI
2024-03-19,1015.86,1004.38,1019.78,1004.38,0.0,0.0,中证AI
2024-03-20,1004.09,1011.09,1012.5,998.96,0.0,0.0,中证AI
2024-03-21,1020.95,1006.0,1030.16,1005.17,0.0,0.0,中证AI
2024-03-22,1004.14,996.0,1012.77,992.63,0.0,0.0,中证AI
2024-03-25,995.16,976.68,1003.38,976.68,0.0,0.0,中证AI
2024-03-26,976.61,956.52,985.52,955.08,0.0,0.0,中证AI
2024-03-27,955.49,929.31,956.73,929.12,0.0,0.0,中证AI
2024-03-28,931.32,945.06,957.53,928.49,0.0,0.0,中证AI
2024-03-29,943.27,944.38,945.29,925.0,0.0,0.0,中证AI
2024-04-01,951.09,958.01,960.0,948.04,0.0,0.0,中证AI
2024-04-02,956.14,946.24,956.36,939.93,0.0,0.0,中证AI
2024-04-03,946.02,926.85,947.48,925.62,0.0,0.0,中证AI
2024-04-08,920.93,905.08,924.23,905.01,0.0,0.0,中证AI
2024-04-09,903.64,914.43,914.65,897.37,0.0,0.0,中证AI
2024-04-10,913.43,895.26,913.65,891.09,0.0,0.0,中证AI
2024-04-11,895.72,899.38,912.33,895.63,0.0,0.0,中证AI
2024-04-12,906.39,905.07,917.35,904.45,0.0,0.0,中证AI
2024-04-15,905.46,920.28,925.38,903.34,0.0,0.0,中证AI
2024-04-16,915.02,898.12,919.32,897.93,0.0,0.0,中证AI
2024-04-17,904.4,923.6,923.66,901.73,0.0,0.0,中证AI
2024-04-18,918.95,916.47,931.59,910.33,0.0,0.0,中证AI
2024-04-19,910.07,893.49,911.59,892.41,0.0,0.0,中证AI
2024-04-22,881.23,895.88,901.29,872.8,0.0,0.0,中证AI
2024-04-23,897.46,892.14,902.4,888.79,0.0,0.0,中证AI
2024-04-24,898.47,914.43,914.91,894.97,0.0,0.0,中证AI
2024-04-25,911.78,906.48,918.34,903.71,0.0,0.0,中证AI
