date,open,close,high,low,volume,amount,name
2023-12-01,36.07,37.24,37.61,35.99,33616400.0,1251874736.0,中科曙光
2023-12-04,37.35,39.01,40.21,37.34,71835500.0,2802302855.0,中科曙光
2023-12-05,38.74,37.5,38.96,37.46,42876700.0,1607876250.0,中科曙光
2023-12-06,37.19,38.08,38.2,36.81,35446300.0,1349795104.0,中科曙光
2023-12-07,37.82,38.29,38.59,37.65,36922900.0,1413777841.0,中科曙光
2023-12-08,38.19,40.32,40.75,38.13,92388000.0,3725084160.0,中科曙光
2023-12-11,39.96,40.27,40.45,39.73,47718600.0,1921628022.0000002,中科曙光
2023-12-12,40.31,40.69,42.11,40.22,67294700.0,2738221343.0,中科曙光
2023-12-13,40.61,39.55,40.8,39.5,41043100.0,1623254605.0,中科曙光
2023-12-14,39.69,39.26,40.27,38.99,32391400.0,1271686364.0,中科曙光
2023-12-15,39.26,38.24,39.53,38.23,31073200.0,1188239168.0,中科曙光
2023-12-18,38.11,38.49,39.18,37.99,25621100.0,986156139.0,中科曙光
2023-12-19,38.33,38.91,39.02,38.11,24574300.0,956186012.9999999,中科曙光
2023-12-20,39.04,37.47,39.04,37.47,31172500.0,1168033575.0,中科曙光
2023-12-21,36.83,38.56,39.01,36.77,34915000.0,1346322400.0,中科曙光
2023-12-22,38.38,38.12,39.26,37.81,34278600.0,1306700232.0,中科曙光
2023-12-25,38.12,37.46,38.56,36.41,30046000.0,1125523160.0,中科曙光
2023-12-26,37.44,36.38,37.44,35.98,26783200.0,974372816.0000001,中科曙光
2023-12-27,36.45,36.85,37.24,36.45,20746200.0,764497470.0,中科曙光
2023-12-28,36.65,38.0,38.11,36.38,30157900.0,1146000200.0,中科曙光
2023-12-29,37.87,38.6,39.25,37.82,31388000.0,1211576800.0,中科曙光
2024-01-02,38.5,38.22,39.19,38.2,24638500.0,941683470.0,中科曙光
2024-01-03,38.21,37.53,38.47,37.01,26473900.0,993565467.0,中科曙光
2024-01-04,37.31,38.05,38.07,37.01,22643800.0,861596589.9999999,中科曙光
2024-01-05,37.79,36.34,37.86,36.11,34291800.0,1246164012.0,中科曙光
2024-01-08,36.11,34.91,36.11,34.91,25499000.0,890170089.9999999,中科曙光
2024-01-09,35.11,34.5,35.58,33.91,26624800.0,918555600.0,中科曙光
2024-01-10,34.4,33.41,34.41,33.38,21530500.0,719334004.9999999,中科曙光
2024-01-11,33.38,34.45,34.54,33.37,26992100.0,929877845.0000001,中科曙光
2024-01-12,34.13,33.39,34.32,33.37,22282400.0,744009336.0,中科曙光
2024-01-15,33.08,31.73,33.22,31.64,50097600.0,1589596848.0,中科曙光
2024-01-16,31.61,31.24,31.85,30.74,43547600.0,1360427024.0,中科曙光
2024-01-17,31.21,30.94,31.79,30.91,28149000.0,870930060.0,中科曙光
2024-01-18,30.51,32.0,32.02,30.29,45873500.0,1467952000.0,中科曙光
2024-01-19,31.79,31.62,32.31,31.61,30794700.0,973728414.0,中科曙光
2024-01-22,32.02,31.11,32.41,30.67,35034000.0,1089907740.0,中科曙光
2024-01-23,30.81,32.51,32.79,30.81,47528700.0,1545158037.0,中科曙光
2024-01-24,32.55,32.75,32.84,31.47,39867400.0,1305657350.0,中科曙光
2024-01-25,32.72,34.1,34.3,32.32,53711500.0,1831562150.0,中科曙光
2024-01-26,33.99,33.1,34.08,32.99,36972700.0,1223796370.0,中科曙光
2024-01-29,33.25,32.72,33.74,32.21,34351800.0,1123990896.0,中科曙光
2024-01-30,32.31,31.97,33.2,31.79,27413200.0,876400004.0,中科曙光
2024-01-31,31.77,30.46,31.95,30.42,35063400.0,1068031164.0,中科曙光
2024-02-01,30.11,31.09,32.01,29.45,36336800.0,1129711112.0,中科曙光
2024-02-02,31.01,29.9,31.41,28.11,46156700.0,1380085330.0,中科曙光
2024-02-05,29.41,29.21,30.52,27.83,40996500.0,1197507765.0,中科曙光
2024-02-06,28.66,31.51,31.94,28.62,43936000.0,1384423360.0,中科曙光
2024-02-07,31.41,31.76,32.49,31.21,40564700.0,1288334872.0,中科曙光
2024-02-08,32.31,33.11,33.36,32.29,42077300.0,1393179403.0,中科曙光
2024-02-19,35.12,36.51,36.51,34.29,86529700.0,3159199347.0,中科曙光
2024-02-20,36.01,35.69,36.56,35.59,68370300.0,2440136007.0,中科曙光
2024-02-21,34.97,35.23,36.21,34.82,49742700.0,1752435320.9999998,中科曙光
2024-02-22,37.61,38.25,38.84,37.6,120117100.0,4594479075.0,中科曙光
2024-02-23,38.84,38.43,38.98,37.97,90123600.0,3463449948.0,中科曙光
2024-02-26,38.58,40.8,41.91,38.29,114128900.0,4656459120.0,中科曙光
2024-02-27,40.18,44.97,44.97,39.91,89578000.0,4028322660.0,中科曙光
2024-02-28,49.32,46.67,49.56,46.65,262077200.0,12231142924.0,中科曙光
2024-02-29,47.67,48.82,50.47,46.91,234819000.0,11463863580.0,中科曙光
2024-03-01,48.06,52.61,53.11,47.82,214532100.0,11286533781.0,中科曙光
2024-03-04,53.91,53.03,53.91,50.98,186216100.0,9875039783.0,中科曙光
2024-03-05,51.7,52.05,55.91,50.91,185870400.0,9674554320.0,中科曙光
2024-03-06,51.21,53.61,54.51,50.79,171358700.0,9186539907.0,中科曙光
2024-03-07,53.12,51.18,53.76,50.91,146563500.0,7501119930.0,中科曙光
2024-03-08,51.71,52.26,52.69,50.87,118634500.0,6199838970.0,中科曙光
2024-03-11,50.91,54.23,54.23,50.71,142659100.0,7736402993.0,中科曙光
2024-03-12,54.01,52.31,54.08,51.81,118315300.0,6189073343.0,中科曙光
2024-03-13,53.13,50.73,53.35,50.67,122454000.0,6212091420.0,中科曙光
2024-03-14,49.71,51.41,52.18,49.7,118355100.0,6084635691.0,中科曙光
2024-03-15,51.14,51.57,51.66,49.98,87324700.0,4503334779.0,中科曙光
2024-03-18,51.41,52.41,52.82,51.09,117721200.0,6169768092.0,中科曙光
2024-03-19,51.91,51.54,53.21,51.19,87482800.0,4508863512.0,中科曙光
2024-03-20,51.41,52.53,54.04,51.41,117325800.0,6163124274.0,中科曙光
2024-03-21,52.19,51.37,53.13,51.29,80335000.0,4126808950.0,中科曙光
2024-03-22,51.41,53.2,53.79,51.41,140807700.0,7490969640.0,中科曙光
2024-03-25,53.11,50.88,53.48,50.88,111874400.0,5692169472.0,中科曙光
2024-03-26,50.74,47.88,52.04,47.49,145872800.0,6984389664.0,中科曙光
2024-03-27,47.82,46.16,48.28,45.99,93035100.0,4294500215.9999995,中科曙光
2024-03-28,46.41,47.98,49.03,46.23,110320700.0,5293187186.0,中科曙光
2024-03-29,47.48,46.86,47.6,45.96,68807500.0,3224319450.0,中科曙光
2024-04-01,47.46,48.0,48.61,47.09,69056700.0,3314721600.0,中科曙光
2024-04-02,47.86,46.65,48.17,46.29,57636900.0,2688761385.0,中科曙光
2024-04-03,46.36,45.16,46.56,45.0,57650200.0,2603483032.0,中科曙光
2024-04-08,44.91,45.01,46.01,44.9,41273400.0,1857715734.0,中科曙光
2024-04-09,45.01,44.59,45.18,43.79,47881800.0,2135049462.0000002,中科曙光
2024-04-10,44.51,43.04,44.51,42.82,46036400.0,1981406656.0,中科曙光
2024-04-11,43.07,43.49,44.28,43.06,48285400.0,2099932046.0,中科曙光
