date,open,close,high,low,volume,amount,name
2023-12-01,176.994,173.525,176.994,169.57,1768003.0,306792720.575,拓荆科技
2023-12-04,172.673,174.296,175.777,170.733,1305320.0,227512054.72,拓荆科技
2023-12-05,174.296,173.823,174.993,170.726,1334280.0,231928552.44,拓荆科技
2023-12-06,173.208,177.61,179.685,172.944,1553970.0,276000611.70000005,拓荆科技
2023-12-07,177.542,169.407,179.368,164.918,2851404.0,483047797.42800003,拓荆科技
2023-12-08,169.563,175.642,180.835,169.401,3955525.0,694756322.05,拓荆科技
2023-12-11,175.906,179.029,181.572,175.013,1575180.0,282002900.21999997,拓荆科技
2023-12-12,177.677,173.458,179.368,172.673,1271377.0,220530511.666,拓荆科技
2023-12-13,172.876,170.543,174.803,170.543,1022488.0,174378170.984,拓荆科技
2023-12-14,171.585,166.987,172.606,162.876,1441078.0,240641291.986,拓荆科技
2023-12-15,166.764,163.613,167.96,162.808,1431753.0,234253403.589,拓荆科技
2023-12-18,165.161,162.159,165.235,161.753,1094208.0,177435675.072,拓荆科技
2023-12-19,162.159,164.424,164.83,160.38,1174240.0,193073237.76000002,拓荆科技
2023-12-20,164.715,162.051,164.715,160.779,1139495.0,184656304.24499997,拓荆科技
2023-12-21,163.815,162.734,163.978,160.908,1048895.0,170690878.93,拓荆科技
2023-12-22,162.598,160.299,162.801,158.744,1219254.0,195445196.946,拓荆科技
2023-12-25,160.096,156.154,161.408,153.673,1263028.0,197226874.312,拓荆科技
2023-12-26,155.62,152.767,156.986,152.32,887438.0,135571240.946,拓荆科技
2023-12-27,153.01,161.226,162.145,151.306,1635296.0,263652232.896,拓荆科技
2023-12-28,161.449,159.211,161.449,158.068,1598672.0,254526167.79200003,拓荆科技
2023-12-29,159.211,155.566,160.664,152.544,2234955.0,347683009.53000003,拓荆科技
2024-01-02,153.335,149.224,153.335,143.584,2270305.0,338783993.32,拓荆科技
2024-01-03,147.925,148.061,150.549,143.868,1459259.0,216059346.79900002,拓荆科技
2024-01-04,147.114,147.587,150.332,146.235,1284396.0,189560152.452,拓荆科技
2024-01-05,147.263,145.559,149.264,144.768,1029584.0,149865217.456,拓荆科技
2024-01-08,144.078,138.865,144.544,135.781,2108157.0,292749221.805,拓荆科技
2024-01-09,139.744,134.807,141.772,133.861,1649524.0,222367381.86799997,拓荆科技
2024-01-10,134.334,132.867,135.754,131.149,1082257.0,143796240.81899998,拓荆科技
2024-01-11,132.847,134.463,135.754,132.339,1157926.0,155698203.738,拓荆科技
2024-01-12,134.848,133.11,138.797,133.11,1314065.0,174915192.15,拓荆科技
2024-01-15,134.064,129.587,135.071,128.857,2005756.0,259919902.77199998,拓荆科技
2024-01-16,129.668,131.021,133.982,128.323,1639437.0,214800675.177,拓荆科技
2024-01-17,131.156,125.07,131.413,124.949,1635444.0,204544981.07999998,拓荆科技
2024-01-18,124.286,123.38,125.611,119.458,2515207.0,310326239.65999997,拓荆科技
2024-01-19,124.854,124.705,127.295,122.231,2214231.0,276125676.855,拓荆科技
2024-01-22,124.144,116.172,125.469,115.036,2227078.0,258724105.41599998,拓荆科技
2024-01-23,119.526,115.334,120.182,111.04,4076568.0,470166893.712,拓荆科技
2024-01-24,117.484,115.868,118.593,113.035,2664186.0,308693903.448,拓荆科技
2024-01-25,115.868,122.231,123.448,115.868,3414603.0,417370339.293,拓荆科技
2024-01-26,121.622,116.355,121.622,116.185,2191939.0,255043062.345,拓荆科技
2024-01-29,117.497,113.826,120.669,113.44,1824798.0,207709457.148,拓荆科技
2024-01-30,113.744,110.485,116.348,109.721,1838894.0,203170203.59,拓荆科技
2024-01-31,111.344,109.383,113.886,107.693,2140936.0,234182002.48799998,拓荆科技
2024-02-01,109.518,112.013,115.448,108.004,2882199.0,322843756.587,拓荆科技
2024-02-02,112.744,107.125,113.224,103.987,2553817.0,273577646.125,拓荆科技
2024-02-05,107.03,104.65,109.187,98.226,2916204.0,305180748.6,拓荆科技
2024-02-06,105.326,118.363,118.714,103.291,3332857.0,394486953.091,拓荆科技
2024-02-07,118.958,122.562,125.382,116.706,3928124.0,481438733.68799996,拓荆科技
2024-02-08,124.935,127.802,133.82,122.231,2913362.0,372333490.324,拓荆科技
2024-02-19,128.316,126.146,128.316,122.711,2737780.0,345359995.88,拓荆科技
2024-02-20,124.935,124.279,126.95,122.237,1656600.0,205880591.4,拓荆科技
2024-02-21,122.907,125.611,129.79,121.182,1961881.0,246433834.291,拓荆科技
2024-02-22,125.835,127.302,128.079,124.448,1771275.0,225486850.05,拓荆科技
2024-02-23,127.369,125.057,128.776,122.974,2196197.0,274649808.22900003,拓荆科技
2024-02-26,124.55,126.971,129.587,123.799,2088807.0,265217913.597,拓荆科技
2024-02-27,127.383,133.313,133.387,126.288,2365348.0,315331637.92399997,拓荆科技
