date,open,close,high,low,volume,amount,name
2023-12-01,9.709,9.795,9.804,9.624,13490200.0,132136509.0,晶瑞电材
2023-12-04,9.814,9.747,9.871,9.671,12699200.0,123779102.4,晶瑞电材
2023-12-05,9.785,9.5,9.785,9.433,12907200.0,122618400.0,晶瑞电材
2023-12-06,9.462,9.49,9.604,9.433,10616400.0,100749636.0,晶瑞电材
2023-12-07,9.471,9.414,9.528,9.357,14183400.0,133522527.6,晶瑞电材
2023-12-08,9.395,9.433,9.557,9.385,12453500.0,117473865.5,晶瑞电材
2023-12-11,9.462,9.547,9.576,9.214,14063300.0,134262325.1,晶瑞电材
2023-12-12,9.909,9.652,9.976,9.566,33630300.0,324599655.59999996,晶瑞电材
2023-12-13,9.547,9.385,9.604,9.385,18410500.0,172782542.5,晶瑞电材
2023-12-14,9.385,9.319,9.5,9.3,12601100.0,117429650.9,晶瑞电材
2023-12-15,9.347,9.328,9.424,9.281,9302500.0,86773720.0,晶瑞电材
2023-12-18,9.328,9.1,9.328,9.071,11304900.0,102874590.0,晶瑞电材
2023-12-19,9.109,9.166,9.224,9.052,8158600.0,74781727.60000001,晶瑞电材
2023-12-20,9.243,9.1,9.243,9.081,10258200.0,93349620.0,晶瑞电材
2023-12-21,9.052,9.071,9.147,8.852,15579600.0,141322551.6,晶瑞电材
2023-12-22,9.071,8.9,9.1,8.852,11546900.0,102767410.0,晶瑞电材
2023-12-25,8.862,8.919,8.957,8.862,5687500.0,50726812.5,晶瑞电材
2023-12-26,8.957,8.709,8.957,8.681,8180100.0,71240490.89999999,晶瑞电材
2023-12-27,8.766,8.824,8.871,8.7,8036200.0,70911428.8,晶瑞电材
2023-12-28,8.824,9.062,9.1,8.766,13903600.0,125994423.19999999,晶瑞电材
2023-12-29,9.043,9.176,9.185,9.024,10474400.0,96113094.4,晶瑞电材
2024-01-02,9.243,9.004,9.271,9.004,9332800.0,84032531.2,晶瑞电材
2024-01-03,8.985,8.938,9.138,8.833,11474800.0,102561762.4,晶瑞电材
2024-01-04,8.9,8.785,8.919,8.766,7696000.0,67609360.0,晶瑞电材
2024-01-05,8.785,8.624,8.862,8.576,9715700.0,83788196.80000001,晶瑞电材
2024-01-08,8.652,8.338,8.671,8.338,10542000.0,87899195.99999999,晶瑞电材
2024-01-09,8.376,8.3,8.462,8.204,9958800.0,82658040.0,晶瑞电材
2024-01-10,8.243,8.119,8.309,8.071,9270900.0,75270437.1,晶瑞电材
2024-01-11,8.071,8.347,8.385,8.071,10877800.0,90796996.6,晶瑞电材
2024-01-12,8.309,8.252,8.385,8.243,6759100.0,55776093.2,晶瑞电材
2024-01-15,8.252,8.252,8.395,8.157,7285000.0,60115820.00000001,晶瑞电材
2024-01-16,8.281,8.214,8.309,8.109,7129900.0,58564998.6,晶瑞电材
2024-01-17,8.252,7.985,8.252,7.976,6952700.0,55517309.5,晶瑞电材
2024-01-18,7.843,7.995,8.071,7.709,11687500.0,93441562.5,晶瑞电材
2024-01-19,7.957,7.862,8.1,7.862,6867500.0,53992285.0,晶瑞电材
2024-01-22,7.881,7.271,7.947,7.233,15184700.0,110407953.7,晶瑞电材
2024-01-23,7.262,7.404,7.443,7.214,12259400.0,90768597.6,晶瑞电材
2024-01-24,7.433,7.376,7.49,7.043,14258800.0,105172908.80000001,晶瑞电材
2024-01-25,7.395,7.643,7.652,7.309,13202900.0,100909764.7,晶瑞电材
2024-01-26,7.604,7.49,7.662,7.471,11293200.0,84586068.0,晶瑞电材
2024-01-29,7.49,7.214,7.604,7.195,10785500.0,77806597.0,晶瑞电材
2024-01-30,7.214,6.966,7.29,6.938,10340700.0,72033316.2,晶瑞电材
2024-01-31,6.738,6.528,6.957,6.5,18113500.0,118244927.99999999,晶瑞电材
2024-02-01,6.528,6.414,6.662,6.366,16736200.0,107345986.8,晶瑞电材
2024-02-02,6.481,6.014,6.585,5.766,21892200.0,131659690.80000001,晶瑞电材
