date,open,close,high,low,volume,amount,name
2023-12-01,57.533,58.823,59.233,56.423,7616117.0,448002850.291,澜起科技
2023-12-04,58.913,58.293,60.193,58.233,6916667.0,403193269.431,澜起科技
2023-12-05,58.093,56.553,58.613,56.503,7251982.0,410121338.046,澜起科技
2023-12-06,56.683,56.783,57.213,56.303,6108745.0,346872867.335,澜起科技
2023-12-07,56.853,55.633,56.933,55.153,7650238.0,425605690.65400004,澜起科技
2023-12-08,55.853,56.233,56.233,54.583,14426813.0,811262975.4289999,澜起科技
2023-12-11,55.733,58.723,59.233,55.243,12221010.0,717654370.23,澜起科技
2023-12-12,58.723,59.263,59.453,58.353,9781232.0,579665152.016,澜起科技
2023-12-13,59.133,58.883,59.993,58.793,5734911.0,337688764.413,澜起科技
2023-12-14,59.703,60.323,61.653,59.333,11995713.0,723617395.299,澜起科技
2023-12-15,60.813,59.113,61.033,58.223,9332226.0,551655875.538,澜起科技
2023-12-18,58.333,58.233,58.983,57.723,6665722.0,388164989.22599995,澜起科技
2023-12-19,58.133,58.523,59.283,57.893,5487948.0,321171180.804,澜起科技
2023-12-20,58.433,57.733,58.973,57.433,5942043.0,343051968.519,澜起科技
2023-12-21,57.233,58.843,59.493,56.793,8161233.0,480231433.419,澜起科技
2023-12-22,59.623,57.583,59.883,56.633,8055001.0,463831122.583,澜起科技
2023-12-25,57.243,55.633,57.423,54.753,12413609.0,690606309.497,澜起科技
2023-12-26,55.563,54.163,55.723,53.493,8561885.0,463737377.255,澜起科技
2023-12-27,54.443,56.373,57.213,54.443,10205985.0,575341992.405,澜起科技
2023-12-28,56.153,56.063,56.653,55.503,11193815.0,627558850.345,澜起科技
2023-12-29,56.323,57.493,58.323,55.873,10621446.0,610658794.878,澜起科技
2024-01-02,57.533,56.353,57.543,56.233,5742423.0,323602763.319,澜起科技
2024-01-03,56.123,55.293,56.733,54.543,7393142.0,408789000.606,澜起科技
2024-01-04,55.233,54.623,55.783,54.233,7207282.0,393683364.686,澜起科技
2024-01-05,54.733,54.393,55.433,53.953,6536337.0,355530978.441,澜起科技
2024-01-08,54.033,53.333,55.123,53.063,8901905.0,474765299.365,澜起科技
2024-01-09,53.733,55.283,55.883,53.733,10516699.0,581394670.817,澜起科技
2024-01-10,54.793,53.673,55.393,53.063,7007749.0,376126912.077,澜起科技
2024-01-11,53.733,55.713,55.933,53.273,7978925.0,444529848.52500004,澜起科技
2024-01-12,55.333,54.323,56.203,54.233,4882605.0,265237751.415,澜起科技
2024-01-15,53.533,53.133,55.833,52.843,11003974.0,584674150.542,澜起科技
2024-01-16,53.103,52.413,53.223,51.553,9153352.0,479754638.376,澜起科技
2024-01-17,52.433,51.323,52.603,51.163,6904587.0,354364118.601,澜起科技
2024-01-18,50.733,52.783,52.903,49.763,11224066.0,592439875.678,澜起科技
2024-01-19,52.733,53.863,54.233,52.393,9344551.0,503325550.513,澜起科技
2024-01-22,53.883,52.823,54.213,51.843,10393428.0,549012047.244,澜起科技
2024-01-23,52.123,52.893,53.243,51.123,9903875.0,523845660.375,澜起科技
2024-01-24,53.063,50.703,53.233,48.833,13236434.0,671126913.102,澜起科技
2024-01-25,50.483,50.403,50.973,49.303,14889623.0,750481668.069,澜起科技
2024-01-26,49.733,48.533,49.733,47.243,13742804.0,666979506.5320001,澜起科技
2024-01-29,49.013,47.363,50.223,46.863,14238946.0,674399199.398,澜起科技
2024-01-30,47.213,46.173,48.163,45.933,12156046.0,561281111.9580001,澜起科技
2024-01-31,46.333,43.933,46.403,43.893,15935142.0,700078593.486,澜起科技
2024-02-01,43.973,45.503,46.023,43.583,12336949.0,561368190.347,澜起科技
2024-02-02,45.513,43.533,45.933,42.143,13905496.0,605347957.368,澜起科技
2024-02-05,43.663,43.323,44.143,41.333,16714938.0,724141258.974,澜起科技
2024-02-06,43.933,46.443,46.673,42.503,13962160.0,648444596.88,澜起科技
2024-02-07,46.583,47.433,47.903,45.803,13045224.0,618774109.992,澜起科技
2024-02-08,47.983,48.633,48.983,47.533,12758790.0,620498234.07,澜起科技
2024-02-19,49.923,50.683,50.963,48.793,14726067.0,746361253.761,澜起科技
2024-02-20,50.233,50.383,51.133,49.433,9853881.0,496468086.42300004,澜起科技
2024-02-21,49.753,49.523,50.523,49.403,10018866.0,496164300.91800004,澜起科技
2024-02-22,49.833,50.083,50.513,49.733,9602493.0,480921656.91899997,澜起科技
2024-02-23,50.633,50.343,50.953,49.133,10659833.0,536647972.71900004,澜起科技
2024-02-26,50.213,50.933,51.703,49.793,10637561.0,541802894.413,澜起科技
2024-02-27,50.443,52.143,52.413,50.153,11794461.0,614998579.923,澜起科技
2024-02-28,52.173,49.503,52.993,49.493,13244567.0,655645800.201,澜起科技
2024-02-29,49.443,50.933,51.463,49.163,16292477.0,829824731.041,澜起科技
2024-03-01,51.223,51.903,52.213,50.683,13812935.0,716932765.305,澜起科技
2024-03-04,53.033,53.583,54.153,52.173,16806172.0,900525114.276,澜起科技
2024-03-05,53.233,53.203,54.003,52.853,14578288.0,775608656.464,澜起科技
2024-03-06,53.203,51.413,53.433,51.113,13126007.0,674847397.8909999,澜起科技
2024-03-07,51.983,50.033,52.013,49.333,14651954.0,733081214.482,澜起科技
2024-03-08,50.213,51.093,51.933,49.533,12908065.0,659511765.0450001,澜起科技
2024-03-11,50.313,50.803,50.913,49.313,13057643.0,663367437.329,澜起科技
2024-03-12,50.773,51.713,52.993,50.773,15364108.0,794524117.0040001,澜起科技
2024-03-13,52.133,51.653,52.873,51.483,10770490.0,556328119.97,澜起科技
2024-03-14,51.333,50.533,51.613,49.633,12704092.0,641975881.036,澜起科技
2024-03-15,50.433,51.133,51.183,49.633,12261926.0,626989062.158,澜起科技
2024-03-18,51.133,51.433,51.893,50.333,18365866.0,944611585.978,澜起科技
2024-03-19,51.343,47.533,51.393,47.053,36925659.0,1755187349.247,澜起科技
2024-03-20,47.583,46.363,48.383,45.733,30373344.0,1408199347.872,澜起科技
2024-03-21,48.133,48.403,49.933,47.733,35788376.0,1732264763.5279999,澜起科技
2024-03-22,48.913,48.023,50.903,47.713,31908179.0,1532326480.117,澜起科技
2024-03-25,47.613,46.683,48.083,46.283,17235901.0,804623566.383,澜起科技
2024-03-26,47.353,45.773,48.313,45.563,19344790.0,885469072.6700001,澜起科技
2024-03-27,45.013,44.033,45.513,44.003,14939474.0,657829858.642,澜起科技
2024-03-28,44.203,45.193,45.933,43.603,15572542.0,703769890.606,澜起科技
2024-03-29,45.063,44.683,45.063,43.783,10842564.0,484478287.212,澜起科技
2024-04-01,44.453,44.533,45.483,44.073,15241330.0,678742148.89,澜起科技
2024-04-02,45.063,44.483,45.253,44.253,13761442.0,612150224.486,澜起科技
2024-04-03,44.373,44.003,45.113,43.443,16059827.0,706680567.481,澜起科技
2024-04-08,44.073,42.633,44.333,42.533,16040036.0,683834854.788,澜起科技
2024-04-09,42.933,42.983,43.223,42.313,10703972.0,460088828.47599995,澜起科技
2024-04-10,43.383,41.883,43.383,40.933,20526688.0,859719273.5040001,澜起科技
2024-04-11,44.523,45.883,47.733,44.233,51777867.0,2375723871.5610003,澜起科技
2024-04-12,45.883,46.673,47.613,45.583,31212902.0,1456799775.046,澜起科技
2024-04-15,46.793,47.783,48.583,46.793,27104742.0,1295145886.986,澜起科技
2024-04-16,47.523,46.513,47.693,46.353,19713536.0,916935699.9679999,澜起科技
2024-04-17,47.233,48.233,48.303,46.943,27178537.0,1310902375.1209998,澜起科技
2024-04-18,47.333,46.373,47.613,46.243,25055198.0,1161884696.8539999,澜起科技
2024-04-19,45.763,44.633,45.913,44.103,24408987.0,1089446316.7710001,澜起科技
2024-04-22,43.673,45.463,45.913,42.763,18239390.0,829217387.57,澜起科技
2024-04-23,45.733,44.903,46.823,44.713,15834533.0,711018035.299,澜起科技
2024-04-24,45.233,45.823,45.923,44.723,14558033.0,667092746.159,澜起科技
2024-04-25,45.603,47.033,47.693,45.263,19556076.0,919780922.508,澜起科技
2024-04-26,48.433,49.503,50.023,47.733,34192443.0,1692628505.829,澜起科技
2024-04-29,49.433,50.063,50.413,48.823,28993731.0,1451513155.053,澜起科技
2024-04-30,49.233,49.643,50.533,49.233,16993942.0,843630262.706,澜起科技
2024-05-06,50.703,49.783,51.133,49.313,21362391.0,1063483911.153,澜起科技
2024-05-07,50.053,49.273,50.183,49.003,16158684.0,796186836.732,澜起科技
